epoch,32-bits (c),32-bits (b),8-bits (c),8-bits (b),4-bits (c),4-bits (b)
0 (acc.),92.9800,10.3200,92.9000,10.3400,88.3100,10.3400
0 (loss),0.3628,18.5247,0.3618,18.4855,0.6165,16.8753
1 (acc.),89.8400,32.8100,89.8700,32.9200,83.0200,42.9600
1 (loss),0.3510,1.2786,0.3509,1.2734,0.5622,1.1592
2 (acc.),91.1400,29.0200,91.0000,29.3400,85.7800,36.9300
2 (loss),0.3510,1.3000,0.3529,1.2879,0.5561,1.2266
3 (acc.),91.4400,25.5100,91.3900,25.6300,86.6600,28.8300
3 (loss),0.3573,1.3155,0.3583,1.3167,0.5436,1.3996
4 (acc.),90.8800,26.3500,90.8200,26.3400,87.3300,32.0400
4 (loss),0.3660,1.0286,0.3665,1.0289,0.5315,1.0537
5 (acc.),90.8400,22.5700,90.7700,22.6000,86.8600,26.3100
5 (loss),0.4200,1.2425,0.4231,1.2415,0.6355,1.3448
6 (acc.),89.6000,23.8900,89.7400,23.8200,83.0700,26.2400
6 (loss),0.4265,1.0658,0.4278,1.0660,0.7515,1.1833
7 (acc.),89.9900,23.1000,90.0200,23.0500,85.0200,26.8800
7 (loss),0.4347,1.2875,0.4375,1.2916,0.6738,1.3346
8 (acc.),90.1800,22.1500,90.2400,22.1400,85.1400,29.9900
8 (loss),0.4520,1.0461,0.4511,1.0515,0.7137,1.0200
9 (acc.),91.7600,26.3300,91.7600,26.4400,89.0300,29.8200
9 (loss),0.3736,1.0579,0.3739,1.0544,0.5048,1.0982
10 (acc.),90.7600,18.7100,90.6800,18.7300,86.0200,25.8300
10 (loss),0.4444,1.2354,0.4447,1.2324,0.6878,1.1548
11 (acc.),90.5100,22.4800,90.4600,22.5400,86.6900,30.5200
11 (loss),0.4565,1.0071,0.4587,1.0021,0.6622,0.9327
12 (acc.),91.3900,27.1400,91.3100,27.2800,86.8000,45.3800
12 (loss),0.4114,0.8767,0.4122,0.8738,0.6460,0.7662
13 (acc.),90.9900,27.1000,90.9100,27.3800,88.1600,35.8600
13 (loss),0.4246,0.9143,0.4272,0.9093,0.5892,0.8705
